epoch,cls-3conv-A40,cls-3conv-learningpc,cls-3conv-V100,cls-resnet50-A40,cls-resnet50-learningpc,cls-resnet50-V100,seg-UNet-V100-3GPUs,seg-UNet-V100,seg-UNet-learningpc,seg-UNet-A40-3GPUs,seg-UNet-A40
65,34.04976964,45.90925431,31.17930865,38.12783289,46.03775978,40.03989172,,,,,
66,34.06725454,45.69654489,31.4417119,38.28850055,41.66213965,40.01280236,,,,,
67,34.12932539,45.5765233,31.82771993,37.4218986,41.69213414,40.73608494,,,,,
68,33.44768023,45.80128765,31.68341684,37.77279687,41.64609838,40.82647014,,,,,
69,33.93146133,45.64218497,32.31463552,37.60086894,41.61896038,40.21751523,,,,,
70,34.1818285,45.60984206,31.85700798,37.83928418,41.59047699,40.38811827,,,,,
71,33.53822708,45.76149178,31.80535626,38.38019991,41.54159379,40.65809298,,,,,
72,33.49167156,45.2998364,31.7150178,38.17541885,41.54584408,40.3720119,,,,,
73,33.9685328,45.65712094,31.20993662,38.51216388,41.6189723,40.52332449,,,,,
74,34.08849764,45.71047521,31.09181619,38.23427558,41.59850502,40.24530745,,,,,
75,33.59970069,45.87047291,31.8832221,38.49079561,41.50323153,40.05942225,,,,,
76,34.8514235,45.7225976,31.50694489,38.84608221,41.61865044,39.94124866,,,,,
77,35.01482391,45.82182598,31.53684473,38.94029903,41.68302989,39.88219547,,,,,
78,34.66615486,45.4638536,31.49010158,37.57311273,41.5154748,40.14561009,,,,,
79,34.72727442,45.7780118,31.18518448,38.90116358,41.78387117,40.25282335,,,,,
80,34.72041893,45.82415795,31.38390398,39.07021928,41.77794385,40.22412515,,,,,
81,35.17826891,45.67533994,30.96555924,38.09338784,41.64955211,40.02071404,,,,,
82,33.4460876,45.84727716,32.45397997,38.30430055,41.75941849,40.72469068,,,,,
83,33.98326635,45.91768217,32.34024334,38.17437601,41.66825461,40.54821944,,,,,
84,34.87005758,45.85779715,31.47519732,37.99062085,41.58271837,40.51693773,,,,,
85,34.32240534,45.75429463,32.04472589,37.8558538,41.56547713,40.75034642,,,,,
86,34.09467602,45.88898039,31.49831605,38.63739777,41.5590415,40.95027351,,,,,
87,34.2683754,45.90087986,31.44607854,38.9245851,41.61421204,40.29596782,,,,,
88,33.99267769,46.00443625,31.16700912,38.40844989,41.7923677,40.38499784,,,,,
89,34.54171968,45.34424019,31.58744311,38.10114837,41.50662541,40.41131377,,,,,
90,34.03465414,45.65629053,31.27686644,38.14949656,41.64989519,40.72317934,,,,,
91,34.33065724,45.7409389,31.4113791,38.11269236,41.83127379,40.45866489,,,,,
92,34.97441006,45.83040619,31.46839094,38.54317093,41.60928178,40.28414702,,,,,
93,34.15508294,45.56379819,31.09824991,39.06139612,41.66391301,40.29683352,,,,,
94,34.39015675,45.91419935,31.48681974,37.84235168,41.66438913,39.74326062,,,,,
95,33.94394946,45.73630977,31.65504861,37.92529845,41.57574296,40.06869316,,,,,
96,34.74825644,45.8105371,31.50027943,38.34938979,41.76544213,39.98291254,,,,,
97,34.22929406,45.57962942,31.65156746,37.51786613,41.79993606,40.59675121,,,,,
98,34.34167504,45.76384974,31.59378648,38.31764364,41.72750998,40.32814455,,,,,
99,34.16676784,45.87166429,31.15030742,39.09819746,41.57554436,40.81374598,,,,,
100,34.49607658,45.73492575,31.22680521,39.44498706,41.45379543,40.91082644,,,,,
